epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
51,90.1448,0.90588,2.70267,0.32122,1.24875,0.98414,0.00917,0.78571,0.32849,0.1686,0.00417,0.35714,0.22392,0.04629,1.7214,8.21251,0.70308,2.9826,1.83537,0.000505,0.000505,0.000505
52,92.1037,0.80204,3.20817,0.3526,1.26926,0.95292,0.00917,0.78571,0.32849,0.1686,0.00417,0.35714,0.22392,0.04629,1.7214,8.21251,0.70308,2.9826,1.83537,0.000505002,0.000505002,0.000505002
53,93.8859,0.96267,3.96338,0.2737,1.37436,1.19633,0.00917,0.78571,0.32849,0.1686,0.00417,0.35714,0.22392,0.04629,1.7214,8.21251,0.70308,2.9826,1.83537,0.000504608,0.000504608,0.000504608
54,95.9557,0.7506,2.76489,0.29821,1.43327,1.00036,0.00917,0.78571,0.35391,0.16607,0.00417,0.35714,0.25895,0.06417,1.69125,8.22703,0.69845,3.01216,1.90097,0.000503818,0.000503818,0.000503818
55,97.8804,1.07828,2.81025,0.28463,1.387,1.14895,0.00917,0.78571,0.35391,0.16607,0.00417,0.35714,0.25895,0.06417,1.69125,8.22703,0.69845,3.01216,1.90097,0.000502632,0.000502632,0.000502632
56,99.7562,0.93745,3.86096,0.36872,1.37541,0.98731,0.00917,0.78571,0.35391,0.16607,0.00417,0.35714,0.25895,0.06417,1.69125,8.22703,0.69845,3.01216,1.90097,0.00050105,0.00050105,0.00050105
57,101.844,0.93571,2.79434,0.31329,1.14049,0.95511,0.01083,0.92857,0.35099,0.17086,0.00417,0.35714,0.26364,0.08834,1.78882,8.2599,0.68677,3.02147,1.96597,0.000499072,0.000499072,0.000499072
58,103.769,0.91454,3.55072,0.3415,1.33375,1.04664,0.01083,0.92857,0.35099,0.17086,0.00417,0.35714,0.26364,0.08834,1.78882,8.2599,0.68677,3.02147,1.96597,0.000496698,0.000496698,0.000496698
59,105.714,1.10176,3.01223,0.29575,1.58535,1.15176,0.01083,0.92857,0.35099,0.17086,0.00417,0.35714,0.26364,0.08834,1.78882,8.2599,0.68677,3.02147,1.96597,0.000493928,0.000493928,0.000493928
60,107.547,1.37282,3.96635,0.27178,1.86684,1.50453,0.01083,0.92857,0.33684,0.17315,0.00333,0.28571,0.23869,0.08266,1.79342,8.29664,0.67218,2.99721,1.92797,0.000490762,0.000490762,0.000490762
61,109.359,0.90327,2.51924,0.3059,1.27283,1.06803,0.01083,0.92857,0.33684,0.17315,0.00333,0.28571,0.23869,0.08266,1.79342,8.29664,0.67218,2.99721,1.92797,0.0004872,0.0004872,0.0004872
62,111.142,0.81376,2.39479,0.36026,1.23921,1.01968,0.01083,0.92857,0.33684,0.17315,0.00333,0.28571,0.23869,0.08266,1.79342,8.29664,0.67218,2.99721,1.92797,0.000483242,0.000483242,0.000483242
63,113.27,0.863,3.68416,0.42158,1.48432,1.10483,0.01083,0.92857,0.29992,0.14938,0.00333,0.28571,0.17414,0.05709,1.82214,8.36799,0.65598,3.01217,1.97612,0.000478888,0.000478888,0.000478888
64,115.259,0.84428,2.99088,0.35039,1.04827,1.04584,0.01083,0.92857,0.29992,0.14938,0.00333,0.28571,0.17414,0.05709,1.82214,8.36799,0.65598,3.01217,1.97612,0.000474138,0.000474138,0.000474138
